v,vw,o,c,h,l,t,n
7943,152.0379,151.983,152.02100000000002,152.167,151.873,1730419200000,7943
7688,152.0943,152.039,152.11599999999999,152.293,151.917,1730422800000,7688
6513,152.2415,152.11599999999999,152.29899999999998,152.35299999999998,152.109,1730426400000,6513
5992,152.3434,152.3,152.411,152.422,152.244,1730430000000,5992
4913,152.4786,152.425,152.482,152.54,152.414,1730433600000,4913
6136,152.5454,152.483,152.539,152.649,152.40200000000002,1730437200000,6136
6206,152.4724,152.541,152.392,152.567,152.332,1730440800000,6206
7569,152.3788,152.40200000000002,152.544,152.583,152.19,1730444400000,7569
7948,152.6272,152.54,152.641,152.691,152.51999999999998,1730448000000,7948
6790,152.7082,152.634,152.77100000000002,152.82999999999998,152.559,1730451600000,6790
6071,152.767,152.769,152.667,152.844,152.665,1730455200000,6071
6169,152.6903,152.666,152.67100000000002,152.797,152.57999999999998,1730458800000,6169
12183,152.206,152.666,152.037,152.828,151.78,1730462400000,12183
12816,152.221,152.026,152.41,152.486,151.968,1730466000000,12816
13346,152.7745,152.409,152.896,152.959,152.218,1730469600000,13346
10436,152.9144,152.895,152.94199999999998,153.069,152.79,1730473200000,10436
7630,152.9291,152.941,152.891,153.042,152.82,1730476800000,7630
7163,152.9473,152.897,152.90800000000002,153.07,152.858,1730480400000,7163
5992,152.9055,152.91,152.957,152.959,152.847,1730484000000,5992
5986,152.9764,152.96,152.963,153.018,152.935,1730487600000,5986
3693,153.0115,152.965,152.983,153.1,152.878,1730491200000,3693
459,152.439,152.173,152.417,152.519,152.173,1730671200000,459
3153,152.3284,152.405,152.287,152.471,152.178,1730674800000,3153
4391,152.1233,152.285,152.06799999999998,152.286,151.995,1730678400000,4391
5955,151.8948,152.07,151.789,152.075,151.7,1730682000000,5955
7616,151.8612,151.802,151.81,151.967,151.77,1730685600000,7616
7410,151.6677,151.81,151.738,151.814,151.594,1730689200000,7410
4839,151.7577,151.73600000000002,151.816,151.85999999999999,151.68699999999998,1730692800000,4839
5201,151.8917,151.819,151.84799999999998,151.959,151.814,1730696400000,5201
6145,151.962,151.847,152.144,152.153,151.792,1730700000000,6145
8274,152.1846,152.143,152.17399999999998,152.27599999999998,152.07,1730703600000,8274
9394,152.0575,152.178,152.086,152.223,151.961,1730707200000,9394
7810,151.9652,152.095,151.881,152.14600000000002,151.797,1730710800000,7810
6908,151.8907,151.88299999999998,151.799,152.00900000000001,151.75,1730714400000,6908
6411,151.6724,151.809,151.548,151.817,151.52,1730718000000,6411
6076,151.7062,151.553,151.80599999999998,151.819,151.536,1730721600000,6076
8005,151.8856,151.809,151.83200000000002,152.064,151.727,1730725200000,8005
9235,151.8184,151.83,151.824,151.968,151.622,1730728800000,9235
9387,151.8894,151.81799999999998,151.989,152.102,151.698,1730732400000,9387
8049,152.0355,151.995,152.022,152.156,151.921,1730736000000,8049
6052,152.0101,152.018,152.00900000000001,152.112,151.88899999999998,1730739600000,6052
5828,152.1073,152.005,152.05700000000002,152.198,151.983,1730743200000,5828
5422,152.1201,152.05700000000002,152.14499999999998,152.17,152.055,1730746800000,5422
4909,152.1399,152.144,152.14499999999998,152.177,152.09699999999998,1730750400000,4909
2815,152.1545,152.148,152.127,152.191,152.12,1730754000000,2815
793,152.114,152.127,152.114,152.14600000000002,152.013,1730757600000,793
2516,152.1994,152.098,152.282,152.294,152.098,1730761200000,2516
7269,152.2497,152.275,152.27599999999998,152.39600000000002,152.11100000000002,1730764800000,7269
6349,152.3496,152.285,152.26999999999998,152.44400000000002,152.21,1730768400000,6349
5798,152.2338,152.266,152.254,152.296,152.16,1730772000000,5798
4697,152.3402,152.255,152.382,152.416,152.223,1730775600000,4697
5256,152.448,152.384,152.463,152.494,152.38,1730779200000,5256
4796,152.4537,152.462,152.423,152.57,152.351,1730782800000,4796
5692,152.3529,152.425,152.349,152.44400000000002,152.263,1730786400000,5692
6484,152.2526,152.346,152.27100000000002,152.363,152.176,1730790000000,6484
7143,152.2765,152.27100000000002,152.18699999999998,152.383,152.16799999999998,1730793600000,7143
6245,152.173,152.18699999999998,152.181,152.24099999999999,152.08,1730797200000,6245
5877,152.1995,152.177,152.257,152.267,152.138,1730800800000,5877
3907,152.2011,152.257,152.15200000000002,152.262,152.137,1730804400000,3907
5246,152.2088,152.15200000000002,152.292,152.341,152.081,1730808000000,5246
6807,152.1425,152.29000000000002,152.04,152.32,151.956,1730811600000,6807
8026,151.8937,152.045,151.80100000000002,152.113,151.77,1730815200000,8026
12053,151.961,152.096,152.044,152.223,151.798,1730818800000,12053
8565,151.9937,152.045,151.958,152.095,151.898,1730822400000,8565
6484,151.7198,151.95700000000002,151.677,151.96,151.59,1730826000000,6484
8125,151.5227,151.68099999999998,151.552,151.694,151.366,1730829600000,8125
6462,151.5202,151.555,151.449,151.629,151.32899999999998,1730833200000,6462
6152,151.4474,151.452,151.521,151.54500000000002,151.387,1730836800000,6152
3178,151.5875,151.529,151.639,151.65599999999998,151.49599999999998,1730840400000,3178
950,151.588,151.623,151.59900000000002,151.705,151.429,1730844000000,950
5989,151.7231,151.613,151.44,151.905,151.385,1730847600000,5989
13879,152.2051,151.435,152.923,152.923,151.267,1730851200000,13879
13280,152.897,152.905,152.922,153.117,152.638,1730854800000,13280
13932,153.5184,152.925,154.045,154.107,152.866,1730858400000,13932
14929,154.0396,154.048,153.93200000000002,154.334,153.58,1730862000000,14929
12874,153.7965,153.922,153.552,154.088,153.441,1730865600000,12874
13548,153.4808,153.55599999999998,153.74,153.772,153.126,1730869200000,13548
12962,154.0171,153.747,154.051,154.39000000000001,153.66,1730872800000,12962
14317,153.9243,154.041,153.935,154.131,153.691,1730876400000,14317
13248,154.0131,153.933,153.892,154.13899999999998,153.79999999999998,1730880000000,13248
10557,153.911,153.897,153.993,154.03,153.792,1730883600000,10557
9003,153.9998,153.995,153.992,154.177,153.87,1730887200000,9003
10084,154.1172,153.993,154.212,154.249,153.929,1730890800000,10084
10645,154.3157,154.215,154.404,154.463,154.115,1730894400000,10645
11683,154.2608,154.405,154.3,154.436,154.05599999999998,1730898000000,11683
12181,154.3661,154.3,154.286,154.475,154.204,1730901600000,12181
13408,154.1773,154.295,154.35,154.361,153.977,1730905200000,13408
10043,154.417,154.34699999999998,154.57999999999998,154.662,154.20000000000002,1730908800000,10043
7972,154.5756,154.579,154.664,154.68,154.46,1730912400000,7972
8194,154.4764,154.661,154.427,154.71,154.35,1730916000000,8194
7798,154.4424,154.427,154.442,154.556,154.368,1730919600000,7798
5705,154.4927,154.442,154.556,154.572,154.397,1730923200000,5705
2994,154.6079,154.561,154.62900000000002,154.66,154.554,1730926800000,2994
855,154.5511,154.61,154.539,154.64,154.476,1730930400000,855
4588,154.3963,154.519,154.314,154.554,154.217,1730934000000,4588
8843,154.5228,154.316,154.572,154.71,154.219,1730937600000,8843
8609,154.5028,154.583,154.505,154.67100000000002,154.375,1730941200000,8609
7916,154.4017,154.506,154.437,154.52599999999998,154.327,1730944800000,7916
6840,154.4276,154.434,154.315,154.524,154.26999999999998,1730948400000,6840
6795,154.1547,154.32,154.175,154.375,153.93,1730952000000,6795
6263,154.1743,154.17,154.00900000000001,154.284,153.98000000000002,1730955600000,6263
8078,154.0682,154.00300000000001,153.93,154.20000000000002,153.929,1730959200000,8078
10319,153.8286,153.93099999999998,153.998,154.005,153.64,1730962800000,10319
9790,153.9584,154.0,154.041,154.07,153.816,1730966400000,9790
7827,153.996,154.04299999999998,153.946,154.132,153.893,1730970000000,7827
6975,153.9486,153.942,154.013,154.038,153.872,1730973600000,6975
6413,154.0461,154.016,154.05599999999998,154.09699999999998,153.978,1730977200000,6413
9423,153.9275,154.064,153.76399999999998,154.108,153.73000000000002,1730980800000,9423
11598,153.6324,153.756,153.497,153.78400000000002,153.45,1730984400000,11598
10955,153.3708,153.488,153.216,153.55700000000002,153.08100000000002,1730988000000,10955
11361,153.0366,153.21699999999998,152.96,153.286,152.849,1730991600000,11361
9390,153.0992,152.963,153.13,153.227,152.92000000000002,1730995200000,9390
6598,153.067,153.13,153.015,153.199,152.95600000000002,1730998800000,6598
6311,152.9539,153.01600000000002,152.975,153.02700000000002,152.857,1731002400000,6311
12982,153.1677,152.953,153.072,153.46699999999998,152.855,1731006000000,12982
10892,152.8794,153.08,152.846,153.143,152.688,1731009600000,10892
3843,152.891,152.85,152.93599999999998,152.96,152.795,1731013200000,3843
723,152.9087,152.93599999999998,152.939,152.98,152.54600000000002,1731016800000,723
3848,153.0739,152.928,153.16899999999998,153.19,152.91400000000002,1731020400000,3848
8059,153.1244,153.165,153.128,153.239,152.963,1731024000000,8059
7891,153.2023,153.126,153.09300000000002,153.365,153.042,1731027600000,7891
6866,153.0529,153.08599999999998,153.124,153.181,152.95,1731031200000,6866
6621,152.8702,153.126,152.823,153.13,152.72,1731034800000,6621
6831,152.6996,152.822,152.731,152.838,152.54,1731038400000,6831
5642,152.8175,152.737,152.799,152.91400000000002,152.709,1731042000000,5642
7421,152.8096,152.798,152.761,152.953,152.66,1731045600000,7421
8511,152.7556,152.752,152.635,152.898,152.608,1731049200000,8511
11482,152.5642,152.637,152.346,152.745,152.31,1731052800000,11482
8485,152.3421,152.345,152.28,152.447,152.25,1731056400000,8485
8922,152.2776,152.27700000000002,152.175,152.394,152.13,1731060000000,8922
7202,152.2844,152.175,152.42100000000002,152.447,152.13899999999998,1731063600000,7202
7758,152.4565,152.416,152.387,152.547,152.357,1731067200000,7758
10217,152.6167,152.371,152.738,152.818,152.328,1731070800000,10217
10129,152.6808,152.743,152.709,152.858,152.53,1731074400000,10129
11361,152.5115,152.73399999999998,152.418,152.786,152.378,1731078000000,11361
8899,152.5908,152.42,152.593,152.716,152.405,1731081600000,8899
8307,152.6963,152.589,152.654,152.81099999999998,152.572,1731085200000,8307
6432,152.6838,152.653,152.691,152.815,152.54,1731088800000,6432
5681,152.7278,152.69,152.67,152.792,152.65200000000002,1731092400000,5681
5884,152.6511,152.67700000000002,152.50400000000002,152.75400000000002,152.48,1731096000000,5884
3505,152.5238,152.512,152.626,152.672,152.428,1731099600000,3505
16,152.6627,152.66299999999998,152.667,152.76299999999998,152.62199999999999,1731276000000,16
2281,152.8844,152.70000000000002,152.905,152.944,152.678,1731279600000,2281
4510,153.0124,152.928,153.142,153.145,152.868,1731283200000,4510
4489,153.1179,153.14,153.21800000000002,153.225,153.026,1731286800000,4489
6669,153.2893,153.21800000000002,153.388,153.428,153.129,1731290400000,6669
4911,153.3882,153.39,153.44799999999998,153.461,153.30100000000002,1731294000000,4911
4403,153.5255,153.446,153.573,153.643,153.439,1731297600000,4403
5236,153.5822,153.569,153.525,153.668,153.469,1731301200000,5236
5164,153.4972,153.52800000000002,153.394,153.589,153.392,1731304800000,5164
7984,153.4617,153.395,153.63400000000001,153.666,153.31,1731308400000,7984
7993,153.773,153.638,153.761,153.853,153.609,1731312000000,7993
7432,153.6927,153.76,153.621,153.852,153.594,1731315600000,7432
6303,153.6603,153.618,153.68200000000002,153.749,153.548,1731319200000,6303
6099,153.7266,153.69,153.754,153.777,153.67000000000002,1731322800000,6099
4905,153.7908,153.75300000000001,153.791,153.85,153.734,1731326400000,4905
6824,153.8631,153.78400000000002,153.77,153.952,153.72,1731330000000,6824
8347,153.7469,153.762,153.843,153.91,153.642,1731333600000,8347
7251,153.8692,153.844,153.84900000000002,153.946,153.79999999999998,1731337200000,7251
5780,153.8248,153.853,153.821,153.90900000000002,153.76,1731340800000,5780
4609,153.847,153.822,153.874,153.90900000000002,153.771,1731344400000,4609
4267,153.7873,153.875,153.803,153.87800000000001,153.743,1731348000000,4267
3939,153.7607,153.804,153.766,153.81,153.72,1731351600000,3939
4412,153.7096,153.763,153.644,153.769,153.62400000000002,1731355200000,4412
2590,153.6711,153.64700000000002,153.70999999999998,153.731,153.626,1731358800000,2590
973,153.7102,153.70999999999998,153.725,153.74,153.65,1731362400000,973
3674,153.6003,153.722,153.51,153.77,153.465,1731366000000,3674
7494,153.6487,153.515,153.76,153.81,153.48,1731369600000,7494
7626,153.8809,153.767,153.955,153.96599999999998,153.74,1731373200000,7626
7345,153.862,153.954,153.80700000000002,154.061,153.737,1731376800000,7345
6156,153.6704,153.80700000000002,153.658,153.815,153.573,1731380400000,6156
6238,153.5541,153.657,153.50199999999998,153.657,153.482,1731384000000,6238
6014,153.4763,153.482,153.614,153.615,153.404,1731387600000,6014
5675,153.7119,153.615,153.775,153.832,153.606,1731391200000,5675
7594,153.7911,153.776,153.817,153.88899999999998,153.69,1731394800000,7594
8751,153.8579,153.824,153.934,153.946,153.702,1731398400000,8751
8301,154.0123,153.936,154.1,154.167,153.88000000000002,1731402000000,8301
7094,154.0693,154.1,154.046,154.121,153.97,1731405600000,7094
6229,154.0179,154.048,154.06900000000002,154.137,153.93,1731409200000,6229
6843,154.0938,154.073,154.072,154.18699999999998,153.99699999999999,1731412800000,6843
8486,154.2243,154.081,154.38,154.39600000000002,154.054,1731416400000,8486
8280,154.4192,154.379,154.412,154.493,154.285,1731420000000,8280
8975,154.4355,154.41500000000002,154.516,154.548,154.32,1731423600000,8975
7940,154.5954,154.518,154.744,154.77,154.457,1731427200000,7940
7227,154.8462,154.735,154.78199999999998,154.921,154.707,1731430800000,7227
5845,154.7744,154.78,154.72799999999998,154.855,154.71699999999998,1731434400000,5845
4997,154.7234,154.732,154.745,154.761,154.666,1731438000000,4997
5772,154.6874,154.752,154.57399999999998,154.784,154.535,1731441600000,5772
3443,154.5963,154.558,154.614,154.667,154.507,1731445200000,3443
985,154.6004,154.579,154.529,154.66299999999998,154.5,1731448800000,985
3328,154.5836,154.519,154.659,154.67,154.489,1731452400000,3328
7136,154.7856,154.66,154.929,154.932,154.649,1731456000000,7136
8336,154.7874,154.937,154.594,154.939,154.59,1731459600000,8336
6351,154.7048,154.6,154.739,154.80800000000002,154.53300000000002,1731463200000,6351
5879,154.77,154.726,154.80200000000002,154.897,154.687,1731466800000,5879
5587,154.8314,154.804,154.846,154.89,154.74800000000002,1731470400000,5587
6335,154.8433,154.848,154.91,154.934,154.772,1731474000000,6335
7006,155.0567,154.912,155.03799999999998,155.157,154.891,1731477600000,7006
7394,155.0076,155.041,155.113,155.118,154.924,1731481200000,7394
8330,155.1032,155.113,155.005,155.236,154.96200000000002,1731484800000,8330
7918,154.9256,155.006,154.894,155.06400000000002,154.792,1731488400000,7918
6327,154.9321,154.894,154.991,154.998,154.86,1731492000000,6327
5526,154.9416,154.992,154.809,155.03300000000002,154.79,1731495600000,5526
6925,154.8793,154.81099999999998,154.917,154.96,154.746,1731499200000,6925
12176,154.6911,154.927,154.509,155.06699999999998,154.414,1731502800000,12176
13854,154.6004,154.509,154.833,154.881,154.337,1731506400000,13854
12918,154.9946,154.814,154.98399999999998,155.139,154.73999999999998,1731510000000,12918
9364,155.1603,154.986,155.28300000000002,155.31,154.979,1731513600000,9364
7051,155.3463,155.28,155.409,155.429,155.21800000000002,1731517200000,7051
5551,155.4809,155.41,155.594,155.615,155.39999999999998,1731520800000,5551
5788,155.5028,155.595,155.543,155.623,155.42000000000002,1731524400000,5788
6024,155.554,155.541,155.588,155.597,155.495,1731528000000,6024
4309,155.5026,155.583,155.452,155.59199999999998,155.429,1731531600000,4309
990,155.4296,155.48000000000002,155.434,155.60999999999999,155.167,1731535200000,990
3314,155.3975,155.407,155.42600000000002,155.48000000000002,155.32000000000002,1731538800000,3314
6875,155.6162,155.411,155.719,155.773,155.39999999999998,1731542400000,6875
7768,155.8285,155.715,155.865,155.921,155.7,1731546000000,7768
6248,155.9229,155.868,156.0,156.06199999999998,155.82,1731549600000,6248
5688,155.89,156.00300000000001,155.948,156.007,155.80700000000002,1731553200000,5688
5115,156.0355,155.945,156.053,156.135,155.93800000000002,1731556800000,5115
5614,156.0278,156.052,156.017,156.133,155.95,1731560400000,5614
5658,155.884,156.019,155.921,156.04,155.808,1731564000000,5658
6955,155.8377,155.936,155.83499999999998,155.958,155.7,1731567600000,6955
7055,155.8455,155.836,155.944,155.959,155.73600000000002,1731571200000,7055
7127,156.0274,155.947,156.105,156.14600000000002,155.93,1731574800000,7127
6500,156.1548,156.106,156.053,156.24099999999999,156.049,1731578400000,6500
6713,156.0198,156.049,155.917,156.13899999999998,155.89000000000001,1731582000000,6713
6214,155.9513,155.921,155.994,156.029,155.85500000000002,1731585600000,6214
10634,155.9876,155.99,156.017,156.191,155.761,1731589200000,10634
10749,155.7593,156.01999999999998,155.798,156.027,155.518,1731592800000,10749
10860,155.8676,155.797,155.952,156.07399999999998,155.648,1731596400000,10860
7871,155.8749,155.952,155.968,156.041,155.711,1731600000000,7871
6431,155.8552,155.969,155.74099999999999,156.042,155.67000000000002,1731603600000,6431
5583,155.8527,155.73600000000002,155.89000000000001,155.94299999999998,155.695,1731607200000,5583
5155,155.9038,155.891,155.92,156.0,155.847,1731610800000,5155
11013,156.2633,155.921,156.297,156.417,155.867,1731614400000,11013
5982,156.2989,156.3,156.261,156.36700000000002,156.23499999999999,1731618000000,5982
868,156.2508,156.26399999999998,156.292,156.39499999999998,156.12,1731621600000,868
3926,156.3832,156.298,156.475,156.53,156.24200000000002,1731625200000,3926
7323,156.6028,156.462,156.62900000000002,156.74699999999999,156.42999999999998,1731628800000,7323
7621,156.5012,156.63,156.551,156.644,156.326,1731632400000,7621
6473,156.4167,156.55,156.388,156.55499999999998,156.321,1731636000000,6473
5670,156.3781,156.386,156.499,156.513,156.27100000000002,1731639600000,5670
5311,156.3961,156.505,156.352,156.54600000000002,156.302,1731643200000,5311
5389,156.3896,156.355,156.451,156.453,156.328,1731646800000,5389
6858,156.286,156.447,156.095,156.503,156.033,1731650400000,6858
7762,155.9248,156.093,155.776,156.16799999999998,155.755,1731654000000,7762
8733,155.5951,155.77,155.513,155.785,155.38,1731657600000,8733
8290,155.4895,155.515,155.363,155.72899999999998,155.26000000000002,1731661200000,8290
7546,155.306,155.362,155.297,155.458,155.213,1731664800000,7546
6335,155.3616,155.305,155.491,155.511,155.25,1731668400000,6335
6395,155.5068,155.50199999999998,155.39100000000002,155.62699999999998,155.367,1731672000000,6395
12319,155.3698,155.369,155.33,155.714,155.162,1731675600000,12319
12573,155.4426,155.324,155.546,155.77800000000002,155.11,1731679200000,12573
12989,155.153,155.552,154.947,155.59799999999998,154.82999999999998,1731682800000,12989
12265,154.7116,154.949,154.598,155.014,154.52599999999998,1731686400000,12265
9596,154.4072,154.589,154.281,154.607,154.18200000000002,1731690000000,9596
8422,154.0671,154.279,153.923,154.305,153.85500000000002,1731693600000,8422
7996,154.1454,153.915,154.211,154.345,153.912,1731697200000,7996
8054,154.2956,154.219,154.289,154.417,154.169,1731700800000,8054
3354,154.3539,154.283,154.28,154.477,154.238,1731704400000,3354
235,154.48,154.28,154.529,154.54600000000002,154.27100000000002,1731880800000,235
3007,154.611,154.49800000000002,154.641,154.743,154.39200000000002,1731884400000,3007
6182,154.1797,154.637,154.267,154.654,153.838,1731888000000,6182
7888,154.6838,154.268,154.592,155.14,154.079,1731891600000,7888
7416,154.749,154.593,154.736,154.922,154.582,1731895200000,7416
6053,154.7703,154.733,154.654,154.892,154.619,1731898800000,6053
6272,154.5327,154.649,154.647,154.693,154.411,1731902400000,6272
7100,154.6087,154.66,154.589,154.76,154.412,1731906000000,7100
7612,154.4471,154.598,154.576,154.627,154.297,1731909600000,7612
9088,154.6402,154.572,154.567,154.765,154.475,1731913200000,9088
9794,154.7449,154.556,154.953,154.95499999999998,154.501,1731916800000,9794
8719,154.7265,154.95,154.774,154.976,154.55,1731920400000,8719
7807,154.9119,154.773,154.995,155.05,154.769,1731924000000,7807
6958,155.0266,154.998,155.054,155.122,154.947,1731927600000,6958
6900,155.1337,155.054,155.264,155.277,155.02700000000002,1731931200000,6900
8843,155.0992,155.27,154.903,155.36,154.86,1731934800000,8843
10242,154.8329,154.89,154.799,154.986,154.583,1731938400000,10242
9783,154.9171,154.81,154.992,155.052,154.74699999999999,1731942000000,9783
8417,154.9508,154.994,154.795,155.06400000000002,154.787,1731945600000,8417
6869,154.7728,154.781,154.696,154.851,154.63,1731949200000,6869
6233,154.6874,154.704,154.62900000000002,154.78799999999998,154.57999999999998,1731952800000,6233
6401,154.6429,154.619,154.742,154.753,154.566,1731956400000,6401
5415,154.644,154.738,154.588,154.739,154.585,1731960000000,5415
3622,154.6136,154.592,154.66,154.692,154.567,1731963600000,3622
729,154.6557,154.654,154.625,154.735,154.58100000000002,1731967200000,729
2986,154.5229,154.631,154.616,154.656,154.416,1731970800000,2986
7978,154.413,154.617,154.37599999999998,154.617,154.29000000000002,1731974400000,7978
8198,154.1741,154.374,154.112,154.403,154.03,1731978000000,8198
6920,154.1297,154.113,154.149,154.25,153.969,1731981600000,6920
6724,154.085,154.16,154.178,154.21300000000002,153.95,1731985200000,6724
5830,154.3352,154.167,154.41500000000002,154.471,154.108,1731988800000,5830
5452,154.4,154.426,154.418,154.51500000000001,154.29000000000002,1731992400000,5452
6083,154.4734,154.428,154.507,154.578,154.32999999999998,1731996000000,6083
8050,154.5695,154.511,154.525,154.653,154.441,1731999600000,8050
13156,153.9572,154.52599999999998,153.746,154.57500000000002,153.27200000000002,1732003200000,13156
14813,153.7018,153.746,153.754,154.073,153.34199999999998,1732006800000,14813
10255,153.6676,153.752,153.772,153.822,153.435,1732010400000,10255
8075,153.8781,153.771,154.084,154.179,153.72,1732014000000,8075
8288,154.093,154.09099999999998,153.975,154.204,153.95999999999998,1732017600000,8288
11020,153.6695,153.971,153.471,154.008,153.405,1732021200000,11020
14798,153.9508,153.472,154.045,154.131,153.44,1732024800000,14798
12211,154.0307,154.047,153.958,154.232,153.847,1732028400000,12211
9319,154.251,153.958,154.344,154.49099999999999,153.911,1732032000000,9319
7188,154.4608,154.352,154.718,154.752,154.255,1732035600000,7188
5643,154.7034,154.724,154.58100000000002,154.795,154.573,1732039200000,5643
5360,154.6541,154.585,154.692,154.703,154.55,1732042800000,5360
4938,154.682,154.693,154.681,154.731,154.62,1732046400000,4938
2665,154.6745,154.681,154.654,154.72500000000002,154.608,1732050000000,2665
830,154.6293,154.69899999999998,154.55499999999998,154.70499999999998,154.509,1732053600000,830
3843,154.6382,154.558,154.72,154.756,154.513,1732057200000,3843
7880,154.7901,154.718,154.916,154.938,154.57999999999998,1732060800000,7880
7161,154.8663,154.91400000000002,154.773,154.989,154.69,1732064400000,7161
6321,154.8335,154.77,154.86499999999998,154.909,154.723,1732068000000,6321
5402,154.8995,154.857,154.953,154.983,154.819,1732071600000,5402
5462,155.0533,154.953,155.048,155.14100000000002,154.938,1732075200000,5462
4896,155.0703,155.04399999999998,155.185,155.188,154.986,1732078800000,4896
6416,155.3241,155.18900000000002,155.35,155.458,155.15800000000002,1732082400000,6416
8025,155.5126,155.359,155.655,155.678,155.32000000000002,1732086000000,8025
7262,155.6639,155.658,155.629,155.747,155.578,1732089600000,7262
7194,155.7488,155.632,155.754,155.85,155.596,1732093200000,7194
6009,155.7412,155.75900000000001,155.746,155.846,155.66,1732096800000,6009
5608,155.7973,155.746,155.83,155.87,155.711,1732100400000,5608
6019,155.7845,155.83200000000002,155.685,155.882,155.68200000000002,1732104000000,6019
7174,155.7024,155.68699999999998,155.728,155.78699999999998,155.626,1732107600000,7174
8722,155.6631,155.726,155.595,155.84,155.375,1732111200000,8722
10818,155.3002,155.57899999999998,155.528,155.606,155.04500000000002,1732114800000,10818
8374,155.4223,155.52200000000002,155.37800000000001,155.60999999999999,155.226,1732118400000,8374
6101,155.2772,155.37800000000001,155.214,155.442,155.18,1732122000000,6101
5908,155.3329,155.213,155.33700000000002,155.424,155.195,1732125600000,5908
4970,155.312,155.33700000000002,155.365,155.375,155.236,1732129200000,4970
4683,155.4396,155.37,155.472,155.516,155.359,1732132800000,4683
4608,155.4412,155.47400000000002,155.434,155.536,155.34900000000002,1732136400000,4608
946,155.3735,155.433,155.34199999999998,155.441,155.27600000000012,1732140000000,946
3008,155.2863,155.33,155.273,155.368,155.22899999999998,1732143600000,3008
7269,155.0578,155.27,155.075,155.29999999999998,154.92,1732147200000,7269
6392,154.9986,155.078,155.037,155.089,154.877,1732150800000,6392
5797,154.9894,155.031,154.966,155.08599999999998,154.87,1732154400000,5797
5309,154.9719,154.953,154.922,155.034,154.89,1732158000000,5309
4515,155.0088,154.926,155.057,155.108,154.858,1732161600000,4515
5726,155.1267,155.051,155.18900000000002,155.265,155.02700000000002,1732165200000,5726
8404,154.8154,155.165,154.755,155.187,154.553,1732168800000,8404
10753,154.8594,154.77700000000002,154.93,155.047,154.604,1732172400000,10753
11774,154.6743,154.903,154.437,155.035,154.40200000000002,1732176000000,11774
11161,154.2507,154.44400000000002,154.394,154.445,154.08,1732179600000,11161
8052,154.299,154.394,154.399,154.432,154.19899999999998,1732183200000,8052
7374,154.4613,154.398,154.53199999999998,154.583,154.3,1732186800000,7374
7984,154.5115,154.523,154.442,154.713,154.297,1732190400000,7984
10591,154.3524,154.43800000000002,154.252,154.688,154.101,1732194000000,10591
12239,154.2607,154.25,154.089,154.539,153.962,1732197600000,12239
11923,154.0971,154.09699999999998,154.315,154.349,153.9,1732201200000,11923
11756,154.5104,154.316,154.655,154.664,154.304,1732204800000,11756
9118,154.5522,154.649,154.433,154.69,154.40099999999998,1732208400000,9118
7457,154.5638,154.434,154.551,154.698,154.429,1732212000000,7457
7226,154.5666,154.54600000000002,154.513,154.644,154.476,1732215600000,7226
6992,154.5255,154.501,154.501,154.59,154.452,1732219200000,6992
3759,154.5149,154.501,154.53199999999998,154.565,154.445,1732222800000,3759
752,154.5071,154.507,154.508,154.56,154.425,1732226400000,752
4789,154.2799,154.513,154.153,154.52700000000002,154.1,1732230000000,4789
8364,154.1895,154.154,154.329,154.418,153.963,1732233600000,8364
6848,154.3467,154.317,154.414,154.44,154.219,1732237200000,6848
5743,154.4354,154.414,154.394,154.493,154.346,1732240800000,5743
5985,154.3191,154.391,154.26500000000001,154.482,154.183,1732244400000,5985
5228,154.3556,154.26999999999998,154.422,154.445,154.25900000000001,1732248000000,5228
5781,154.5685,154.425,154.70000000000002,154.72799999999998,154.413,1732251600000,5781
6298,154.8507,154.703,154.9,154.953,154.67,1732255200000,6298
8566,154.7849,154.896,154.72500000000002,154.92,154.654,1732258800000,8566
10737,154.5828,154.726,154.509,154.866,154.39000000000001,1732262400000,10737
12680,154.5095,154.504,154.496,154.818,154.24200000000002,1732266000000,12680
9553,154.3798,154.495,154.321,154.55,154.246,1732269600000,9553
7815,154.3778,154.323,154.309,154.466,154.281,1732273200000,7815
7672,154.4387,154.301,154.496,154.54600000000002,154.287,1732276800000,7672
10634,154.3442,154.49699999999999,154.263,154.564,154.186,1732280400000,10634
11796,154.6726,154.275,154.86499999999998,155.023,154.26,1732284000000,11796
14063,154.7718,154.868,154.897,154.91400000000002,154.596,1732287600000,14063
10110,154.844,154.893,154.733,154.91899999999998,154.71,1732291200000,10110
7145,154.7512,154.73,154.75400000000002,154.82399999999998,154.667,1732294800000,7145
5784,154.7532,154.755,154.738,154.805,154.697,1732298400000,5784
5771,154.7517,154.739,154.8,154.816,154.65,1732302000000,5771
6000,154.8357,154.801,154.835,154.88500000000002,154.738,1732305600000,6000
3009,154.8153,154.83599999999998,154.758,154.851,154.667,1732309200000,3009
11460,153.7857,153.948,153.747,153.96599999999998,153.62,1732543200000,11460
11923,153.9645,153.737,154.371,154.39000000000001,153.63,1732546800000,11923
10769,154.371,154.369,154.291,154.51500000000001,154.278,1732550400000,10769
8465,154.2992,154.292,154.314,154.386,154.22,1732554000000,8465
6981,154.1925,154.322,154.106,154.34,154.09,1732557600000,6981
6703,154.0824,154.107,154.13400000000001,154.19899999999998,153.99,1732561200000,6703
5895,154.1264,154.137,154.141,154.181,154.073,1732564800000,5895
